Number_of_Customers_Per_Day,Average_Order_Value,Operating_Hours_Per_Day,Number_of_Employees,Marketing_Spend_Per_Day,Location_Foot_Traffic,Daily_Revenue
457,7.45,12,9,349.77,91,3643.51
241,8.23,13,12,495.41,142,2277.83
276,4.49,14,13,146.17,746,1340.39
226,2.66,11,10,254.11,776,1160.07
148,3.12,8,14,171.47,556,613.04
85,9.76,15,12,225.9,578,1304.23
145,4.72,8,13,429.91,314,1879.51
201,8.27,16,6,345.26,675,2008.14
200,7.18,17,8,442.4,341,2078.84
239,5.36,6,4,109.72,513,1412.89
273,4.04,16,11,437.95,853,1694.57
86,3.41,10,5,39.28,609,480.43
317,7.11,9,11,445.41,868,2646.98
418,8.31,14,10,171.25,146,3250.59
232,7.33,14,11,164.15,936,1471.46
62,6.48,10,11,260.92,144,684.41
328,2.81,15,13,470.94,375,1716.21
266,9.76,9,2,33.41,123,2198.7
404,8.49,12,3,182.59,385,3410.18
410,4.7,11,6,429.72,117,2354.26
335,9.85,9,4,204.07,807,3151.74
322,7.01,15,3,107.59,967,1822.27
418,6.87,7,2,218.15,126,3184.29
111,8.11,6,11,198.92,257,1212.01
133,8.59,9,4,458.55,933,2249.11
417,7.42,9,2,383.35,815,3575.63
266,3.46,6,13,257.51,270,1482.7
391,5.04,11,2,494.3,311,2165.16
446,9.46,9,13,237.99,459,3800.86
236,4.18,6,2,38.54,380,954.1
68,5.29,6,9,138.51,393,301.89
226,5.74,6,4,223.67,820,1366.76
149,5.8,13,12,86.88,869,1413.35
445,7.1,15,2,474.31,123,3792.99
494,9.57,13,8,385.76,686,4646.33
282,4.31,7,11,141.46,749,832.84
452,3.41,16,4,299.49,303,1632.44
125,3.98,12,9,363.51,882,881.58
314,9.15,13,5,471.23,869,3228.38
333,7.34,13,5,442,796,2606.99
255,4.64,16,6,262.44,811,1684.51
272,8.62,15,7,389.58,381,2552.25
433,8.96,16,8,285.45,447,4049.6
101,8.85,12,5,280.82,394,1236.47
388,9.39,10,9,66.22,633,3566.01
416,4.39,6,14,71.81,796,1703.75
193,8.16,17,7,269.47,885,1636.6
422,5.95,14,2,141.74,717,2352.7
118,8.81,12,2,20.31,504,849.19
148,7.96,7,10,364.19,955,2019.47
445,8.32,11,11,25.92,164,3386.34
74,7.42,7,7,301.69,362,947.63
485,3.83,6,11,274.2,277,2259.5
428,6.59,12,9,484.72,883,3265.53
102,9.89,7,14,247.26,907,1503.13
200,9.53,7,8,41.16,294,1702.72
193,2.82,16,13,280.33,867,815.6
106,3.74,10,7,422.14,575,793.95
88,3.49,10,5,498.46,577,1394.11
158,7.94,12,8,220.87,999,1446.41
230,8.63,6,10,166.95,476,1802.03
91,4.1,13,12,454.26,91,1056.55
235,6.29,8,11,103.71,514,1355.89
472,8.81,9,11,311.56,671,4131.91
447,8,14,8,208.8,327,3593.75
272,6.57,9,2,30.13,885,1957.73
171,6.93,15,11,180.17,68,1357.1
182,6.31,17,10,139.96,115,1101.31
212,4.73,10,14,346.18,216,1320.77
264,6.74,12,5,474.91,634,2445.08
270,7.67,9,4,141.34,452,1684.15
284,9.05,6,5,407.62,961,2716.07
380,7.27,14,5,37.13,871,2584.56
195,8.21,9,14,273.68,458,1510.04
288,3.7,14,11,44.57,161,963.39
125,5.96,11,12,467.68,323,1276.37
58,2.57,6,3,385.51,456,887.91
123,4.35,17,13,332.4,422,930.09
491,7.95,8,2,413.71,646,4371.01
450,9.94,16,13,327.28,700,4532.39
302,3.24,7,11,484.78,88,1963.09
279,5.51,14,13,359.84,154,1645.82
56,8.5,17,2,463.08,373,1446.45
223,4.03,6,14,263.39,842,1121.68
190,6.66,14,9,67.36,463,1534.69
217,8,14,3,268.81,478,2202.66
219,7.12,13,13,72.17,684,941.23
442,3.91,13,11,300.32,779,2101.71
483,5.17,16,6,246.42,938,2816.55
332,8.38,17,13,315.06,110,3242.25
171,6.66,6,5,14.92,661,812.03
243,2.54,16,9,105.47,356,831.77
54,8.21,13,3,250.75,403,814.15
78,2.76,15,11,475.75,442,993.66
214,8.09,8,10,197.97,253,2054.88
471,4.02,16,8,217.94,307,2262.33
388,9.69,12,14,360.2,535,3792.9
185,5.26,16,8,305.86,566,1387.66
414,4.95,6,2,156.47,495,2087.3
370,3.62,6,13,211.3,758,1474.54
391,4.79,15,3,116.67,229,1831.85
194,9.07,10,5,483.35,391,2347.84
376,9.97,10,5,74.01,182,3364.47
266,5.26,13,12,192.2,492,1724.15
350,5.86,12,4,22.66,885,2133.75
181,7.92,13,8,118.67,302,1304.06
341,9.15,11,13,392.43,314,3660.45
119,6.95,11,9,108.58,142,743.48
301,5.44,7,3,49.23,711,1727.1
464,5.59,11,5,242.48,460,2961.4
324,7.72,10,4,14.88,187,2254.57
494,2.52,8,3,51.54,257,1035.6
413,7.15,11,13,405.74,686,3148.53
231,5.17,13,14,388.02,795,1729.24
216,8.46,14,7,458.42,622,2725.18
140,3.2,6,14,428.71,356,707.72
251,6.91,8,5,344.76,315,2098.16
395,6.11,8,7,35.64,695,2207.95
68,7.32,16,3,393.6,367,947.08
88,2.99,13,13,424.3,162,857.1
175,6.85,6,5,401.55,950,1572.76
222,6.71,10,12,259.15,427,1978.01
190,6.7,8,7,124.12,503,1600.38
291,7.03,7,6,424.21,240,2495.1
269,7.57,13,4,366.31,940,2353.93
175,8.54,8,9,490.57,489,1982.3
107,4.52,12,8,86.29,236,582.77
197,8.69,17,4,120.58,880,2091.17
366,6.24,16,7,113.78,416,2205.38
432,3.08,6,5,398.34,138,1627.13
410,2.94,11,12,101.58,236,1157.68
472,5.01,8,6,42.66,868,2342.93
50,8.39,13,12,499.29,995,982.94
436,7.81,11,6,22.16,181,3091.14
397,8.41,17,8,419.27,921,3728.37
239,6.38,7,12,189.03,684,1527.51
240,5.8,11,6,422.39,609,1533.5
418,3.61,12,12,281.76,849,1566.44
458,4.96,10,4,451.8,425,2550.46
361,5.76,8,11,463.83,740,2521.4
466,3.16,9,6,14.46,741,1355.85
471,4.15,9,8,46.95,148,1994.35
166,6.99,11,6,132.68,891,997.87
183,8.02,15,6,337.96,83,1963.49
107,9.99,6,10,445.25,981,1555.73
93,9.5,16,4,235.37,631,791.1
222,7.32,9,14,307.42,220,1926.38
209,5.66,15,7,102.36,415,1481.44
222,7.27,9,2,404.43,833,2235.81
366,8.39,15,11,483.99,108,3474.4
352,3.39,6,6,141.61,230,1511.52
198,5.57,14,9,252.46,68,1409.71
129,8.8,9,6,52.2,275,1296.22
423,5.38,12,10,283.98,522,2141.82
262,6.79,17,12,256.36,144,1735.69
252,6.91,8,7,80.77,930,1834.15
301,3.88,15,9,226.61,346,1698.86
278,5.22,17,11,173.71,642,1650.07
213,5.01,8,9,265.7,224,1259.5
276,2.7,13,14,296.97,271,946.03
196,2.68,13,4,14.16,664,430.93
69,8.74,16,8,382.89,103,1359.82
490,4.55,17,8,359.38,744,2477.11
451,6.39,6,11,189.48,912,3087.47
96,4.74,15,13,35.94,452,593.96
282,9.56,7,7,379.92,367,3338.99
354,4.44,13,13,478.04,916,2171.7
63,5.72,6,8,127.67,398,505.91
192,9.05,17,3,168.53,492,2036.17
464,8.81,13,10,100.07,882,3642.11
50,3.9,13,11,292.7,629,525.75
422,8.52,7,11,85.87,589,3028.7
103,5.94,9,2,184.54,835,576.58
423,6.12,11,2,351.54,331,3241.87
308,3.5,17,4,284.46,409,1535.35
193,3.1,16,4,199.37,964,563.38
490,7.96,14,2,215.92,872,4073.21
61,6.22,13,13,285.43,680,628.88
379,5.78,17,8,12.87,941,2119.05
273,7.97,13,5,48.47,695,2156.14
321,8.24,12,11,441.82,690,3376.26
407,3.69,14,14,48.16,57,1316.34
457,7.08,7,3,356.33,612,3298.45
205,3.52,8,11,460.82,540,802.86
422,8.14,15,6,142.63,390,3281.16
57,7.43,13,7,191.54,521,813.53
171,9.67,11,10,288.77,842,2093.76
397,3.02,15,5,442.04,736,1992.59
213,2.93,14,3,471.53,744,1326.94
139,4.62,15,6,372.39,753,1237.5
185,4.46,9,4,52.44,298,834.87
235,4.35,13,3,337.89,284,1568.35
365,9.3,15,13,211.05,132,3184.78
227,4.37,8,2,240.64,142,972.06
77,4.54,8,11,34.08,934,199.99
269,8.2,13,3,103.62,443,2183.37
406,5.87,10,7,397.35,873,2480.84
90,8.33,8,9,232.44,317,896.74
277,2.99,15,14,157.81,466,861.86
241,6.16,16,4,198.17,681,1789.72
460,2.75,6,12,428.66,632,1913.51
496,2.97,8,10,377.01,578,1905.42
194,9.3,17,13,143.43,302,1929.14
250,3.54,14,10,67.58,171,992.03
466,6.49,10,3,133.48,941,2849.4
261,5.58,17,9,461.17,59,1894
269,5.11,15,11,294.98,848,1986.94
289,9.25,7,12,271.41,365,2315.21
462,2.66,12,13,302.23,887,1411.11
446,7.48,7,6,189.35,322,3245.74
95,9.73,9,5,405.48,355,1552.13
84,6.7,17,11,266.41,854,1133.24
302,9.53,12,6,67.21,259,3062.42
439,2.89,9,5,73.24,779,1233.36
131,5.64,12,9,273.06,802,1069.6
420,4.45,12,5,468.92,935,2458
305,7.98,6,14,161.09,513,2325.92
246,9.86,11,11,436.08,761,2600.28
352,4.42,14,13,384.41,777,1957.62
458,7.41,7,14,131.43,766,3400.62
499,3.99,8,7,27.81,974,1785.04
59,6.74,15,3,59.91,465,530.45
361,5.98,10,6,366.96,265,2119.58
335,9.79,14,7,107.84,129,3117.13
291,7.06,9,6,191.92,828,2056.2
300,5.12,6,13,255.83,529,1511.12
414,3.36,9,3,365.48,951,1931.6
54,3.63,11,8,65.48,940,643.77
168,4.19,10,5,209.12,596,1145.2
338,4.38,6,9,247.69,850,1914.68
423,8.88,9,8,275.01,67,3935.63
114,6.71,11,8,411,214,1434.24
195,6.43,15,10,94.12,574,909.76
273,3.36,15,2,405.84,251,1408.72
288,8.95,9,11,349.51,790,2945.84
226,7.92,14,7,282.38,395,2140.78
316,3.01,10,7,352.77,415,1639.54
390,7.81,13,7,211.89,497,2852.67
331,6.58,14,14,77.81,562,2198.35
112,3.11,15,13,336.22,368,604.81
266,5.94,10,7,267.09,266,1780.33
391,6.14,11,13,323.29,83,2633.21
364,3.74,6,11,175.62,920,1661.17
332,9.59,16,8,454.36,315,3696.02
226,8.87,17,11,297.81,689,2274.94
466,7.52,12,7,51.85,773,2801.26
147,5.97,9,2,230.4,824,1224.4
154,5.59,16,4,380.61,873,1292.15
148,7.38,7,3,399.13,129,1860.07
434,6.59,10,7,252.35,726,3183.28
454,2.97,17,9,448.43,462,1698.58
360,6.34,8,4,141.16,301,2382.33
55,8.55,11,11,211.19,61,860.39
246,5.94,13,9,450.31,450,2096.42
400,2.89,12,9,449.17,865,1794.07
182,8.4,8,6,346,773,2020.95
407,4.01,13,9,430.9,331,2415.51
308,4.44,7,7,53.5,161,1200.74
486,3.74,15,6,433.85,772,2105.49
72,4.98,14,10,167.1,427,729.9
102,8.18,9,8,97.38,800,520.32
214,6.4,6,9,127.29,317,1554.38
251,4.04,13,2,214.8,966,1330.22
132,9.08,12,12,133.08,347,809.22
194,9.1,16,3,167.08,366,1712.21
134,9.03,10,9,76.14,619,1518.42
127,4.29,15,13,155.13,558,431.61
415,5.88,10,10,290.42,999,2674.33
50,9.89,12,5,226.51,595,583.83
100,8.29,10,13,179.89,824,874.15
222,2.7,13,11,375.76,414,1486.36
254,2.99,16,12,447.82,596,1379.93
309,5.98,11,11,380.83,320,2337.67
495,9.32,10,10,172.68,523,4388.59
498,6.54,14,5,374.78,788,3190.37
418,6.23,16,11,84.47,586,2233.45
337,3.29,7,11,73.86,283,1344.33
83,7.43,6,11,179.36,108,854.64
397,8.67,13,10,405.77,300,3552.39
144,5.35,17,12,130.71,896,885.01
121,8.32,8,8,40.99,135,1099.85
88,9.73,16,3,74.54,812,973.32
203,4.03,17,10,430.79,439,1228.51
299,6.42,17,5,320.55,229,1893.39
211,4.65,17,9,134.07,768,1002.73
487,8.45,12,8,282.09,905,4348.58
167,6.83,15,14,268.51,198,1600.19
308,7.26,16,8,331.16,632,2591.29
428,8.48,13,9,124.26,170,3418.71
355,5.47,11,2,433.56,814,2294.66
317,9.36,17,6,161.59,654,2882.33
498,6.5,15,3,350.12,305,3594.83
103,3.68,14,3,17.9,815,570.02
285,7.72,12,2,192.6,913,2216.72
438,8.45,15,6,182.34,849,4111.75
271,4.88,10,3,276.31,358,1623.18
300,8.93,13,5,45.64,108,2410.17
362,9.3,7,4,397.16,118,3920.81
450,4.58,12,4,116.71,495,1622.31
161,9.88,9,3,341.75,437,2040.24
304,3.56,14,14,403.57,135,1564.81
352,4.02,17,7,285.32,835,1991.15
456,3.88,6,3,373.03,276,2272.88
256,9.2,12,9,334.31,642,2648.97
278,7.41,11,9,184.21,675,2262.82
390,3.64,13,14,406.34,233,1676.03
447,5.8,10,13,154.4,841,2758.3
115,7.11,6,6,289.89,371,901.8
124,3.13,6,11,375.24,958,983.87
484,9.12,14,8,195.69,367,4273.33
152,8.53,15,5,158.36,615,1051.83
471,6.29,11,2,235.08,448,3032.74
241,9.75,15,12,410.8,758,2787.37
301,5.63,10,3,465.66,948,2092.68
275,9.88,6,11,277.09,342,2658.45
343,7.51,11,11,334.12,342,2917.95
355,7.26,11,5,452.6,534,3070.93
147,3.74,8,2,58.29,948,627.6
387,9.11,13,14,123.72,496,3360.36
335,5.71,6,9,357.36,852,2144.29
384,3.72,6,10,413.63,741,2360.51
396,2.59,11,5,429.94,941,1508.32
484,6.7,15,11,213.4,461,3065.6
496,6.46,6,4,53.78,557,2975.3
357,7.9,11,3,224.51,783,2838.85
298,9.18,6,6,123.06,835,2582.36
215,3.1,11,4,152.69,939,1203.74
384,7.99,8,11,388.41,293,3118.01
79,3.91,13,8,47.01,469,356
296,8.94,11,12,415.51,978,2792.35
155,8.64,16,7,219.56,203,1426.42
100,6.56,6,2,302.07,865,1390.73
130,7.83,10,13,53.93,473,1053.29
182,4.86,13,9,175.31,322,1112.91
334,6.03,8,3,53.95,985,1705.65
437,8.66,17,6,481.16,696,4042.79
187,5.94,11,10,405.56,874,1972.67
233,5.18,10,9,235.22,569,1538.95
450,6.21,11,3,119.57,177,2626.46
379,8.71,15,10,467.39,422,3760.19
322,5.01,6,6,178.85,617,1773.71
389,3.8,12,11,88.88,687,1295.81
118,7.84,14,7,285.95,208,1187.77
83,8.69,7,14,472.45,620,1808.73
311,3.25,15,4,11.88,619,1005.9
102,4.3,10,14,126.68,701,270.95
499,3.56,15,4,469.84,225,2405.6
254,5.11,9,11,93.83,976,1569.51
175,5.88,11,9,65.49,669,843.46
284,8.12,11,12,289.39,260,2418.19
92,7.38,16,11,432.3,496,1550.27
289,7.16,7,11,243.78,635,2234.97
420,5.14,7,13,497.34,216,2660.35
160,8.81,9,3,342.79,509,1515.61
298,6.03,6,12,46.3,965,1900.81
200,9.84,14,13,496.49,406,2478.24
232,7.26,12,13,209.87,353,1396.5
385,3.45,17,3,150.83,282,1107.14
144,7.57,12,14,283.36,376,1293.8
423,4.94,8,6,159.11,933,1904.75
449,7.65,16,7,52.36,231,2986.71
57,3.02,17,13,10.7,683,639.91
437,3.81,8,3,230.3,383,1985.43
409,8.92,6,6,420.06,764,3398.07
437,4.2,8,8,290.43,78,2024.64
233,8.78,8,11,499.61,763,2572.68
330,4.59,9,11,150.55,142,1293.67
244,7.32,9,9,147.42,890,1935.48
401,7.71,8,13,88.28,917,2506.68
244,6.34,15,8,90.39,737,1747.24
204,4.79,17,9,149.74,379,1392.36
142,4.09,13,13,398.49,772,1590.95
209,2.75,13,10,453.82,233,883.14
483,4.78,6,6,487.79,144,2535.37
110,7.4,12,14,123.82,834,1056.86
171,9.54,16,6,441.84,698,2367.5
100,9.03,7,12,170.84,798,1230.75
452,8.25,6,11,65.29,402,3669.98
326,8.41,8,5,436.31,979,3397.32
54,7.49,9,14,321.69,990,887
141,4.45,11,10,90.72,314,658.28
219,9.3,15,6,220.62,696,1890.32
366,7.53,10,3,150.76,705,2646.9
71,6.7,9,11,371.03,68,955.7
454,3.33,13,9,232.17,792,1518.96
375,5.85,16,8,494.75,695,2708.86
50,5.95,17,9,36.83,675,110.52
182,8.98,9,13,183.96,548,1969.53
282,6.6,15,4,246.13,188,2129.44
61,5.35,17,5,256.54,686,586.6
395,9.83,7,6,164.81,765,3779.55
95,3.33,8,7,367.33,622,614.69
83,5.67,11,2,438.63,811,880.76
482,2.82,13,5,469.97,859,1801.5
127,8.05,13,12,404.5,574,1488.48
267,9.39,16,13,426.78,957,2924.83
350,4.6,14,11,279.77,304,1897.69
460,8.94,12,14,414.69,134,4059.44
122,4.69,7,6,158.72,507,736.9
331,9.33,13,8,205.25,581,2923.67
298,8.15,12,14,165.29,611,1751.97
96,8.54,13,6,239.02,725,1711.5
170,2.64,17,14,149.93,141,469.08
263,9.72,8,14,481.19,649,2873.88
288,7.95,12,2,163.29,118,2036.29
105,4.79,15,12,58.04,86,328.22
399,8.72,14,8,268.14,814,3495.83
156,4.61,8,9,37.98,813,974.58
368,9.05,15,14,64.17,189,3054.75
97,3.34,11,8,117.5,916,403.12
110,7.78,7,12,237.53,942,1366.57
386,6.56,7,14,222.29,729,2507.5
75,3.22,10,5,401.85,615,824.35
341,4.31,10,9,372.34,947,1696.93
306,2.59,12,6,218.9,227,1378.66
57,6.02,17,11,173.52,858,778.81
162,4.76,7,10,165.07,862,911.02
404,6.99,16,13,389.26,920,3045.57
302,4.73,12,13,35.52,667,1332.53
229,4.75,10,11,16.28,186,975.72
256,8.07,11,6,399.82,239,2149.69
352,2.86,13,2,243.8,689,1488.28
176,9.27,15,13,74.13,391,1534.14
105,8.89,17,10,125.43,608,1407.92
263,7.51,9,13,466.93,54,2562.38
63,6.95,12,6,431.16,306,536.59
77,9.19,11,7,357.79,861,917.23
127,3.89,15,5,246.29,711,384.85
265,3.09,7,7,264.96,855,875.6
435,4.3,13,13,487.87,292,2088.53
414,8.46,15,9,483.23,836,3927.55
203,2.76,14,4,115.48,769,614.25
63,6.87,10,6,407.44,464,1148.8
236,9.97,15,3,106.65,676,2269.98
361,8.92,9,3,114.63,756,3021.99
420,6.41,11,14,341.29,392,3335.56
56,2.98,13,8,208.45,731,507.43
52,8.74,16,11,466.46,428,1092.62
160,6.99,8,14,53.61,643,916.29
456,3.36,15,11,260.65,715,1534.74
287,3.2,16,12,460.08,702,1670.78
412,9.32,16,11,453.02,875,4277.53
288,7.52,6,7,86.7,195,2393.55
323,8.72,9,5,189.65,372,2915.16
343,9.09,9,6,313.37,171,3197.52
276,6.79,6,2,88.1,301,1920.99
420,6.38,14,8,484.33,904,3122.07
64,5.73,8,9,458.23,948,1190.47
241,4.88,10,10,91.81,360,1463.05
168,5.76,11,9,69.37,650,941.26
77,8.3,13,6,51.85,524,1004.43
251,7.01,11,4,455.63,619,2504.67
88,9.19,8,11,104.88,541,888.7
490,5.83,11,12,213.98,624,3026.15
322,7.05,6,10,229.94,396,2449.1
280,7.23,9,7,303.52,869,2281.64
135,6.94,11,6,45.15,536,1293.56
175,7.77,12,14,121.11,522,1508.96
349,4.28,16,4,466.43,431,1875.8
74,6.34,16,7,455.12,329,899.33
194,3.28,15,4,392.83,121,964.51
62,5.38,8,11,19.51,570,427.37
261,6.16,14,13,170.23,415,1634.03
74,7.39,17,7,317.7,982,1035.38
117,9.63,17,5,144.84,143,1418.58
443,7,12,3,455.7,422,3880.19
116,8.08,6,9,320.61,388,1260.77
282,6.3,7,5,45.23,486,1385.07
158,7.26,6,10,455.41,385,2073.97
195,3.03,16,8,479.31,713,959.31
160,4.41,14,13,48.08,541,407.87
277,5.21,14,3,270.86,966,2058.43
160,6.04,12,5,158.65,917,1320.98
83,2.84,15,6,202.49,89,612.85
160,3.55,8,4,98.03,408,648.26
313,4.58,10,10,293.26,623,1682.24
473,9.79,9,14,479.41,303,4756.55
418,4.99,12,6,256.51,630,2205.39
285,6.12,14,3,50.63,447,1636.24
132,3.97,17,12,313.8,806,667.45
91,7.08,7,4,176.71,926,680.87
474,4.61,13,10,429.4,219,2188.34
150,4.05,14,8,222.99,739,896.82
55,6.37,15,3,104.49,750,487.67
229,2.54,15,10,103.64,560,1034.66
331,2.56,14,5,386.69,309,1417.77
369,4.14,15,14,140.14,633,1473.9
275,2.78,12,10,385.94,508,1226.89
492,3.31,14,14,110.88,578,1729.35
489,5.04,14,3,167.63,931,2515.07
364,8.52,8,13,238.09,390,3263.94
414,6.79,9,11,472.17,106,3313.62
278,6.35,7,13,466.55,267,2238.07
426,4.7,15,5,111.37,668,1861.88
338,9.49,8,6,185.53,865,3047.24
486,5.48,16,3,83.21,989,2336.71
199,3.15,16,11,259.89,734,737.58
326,7.13,10,2,235.69,780,2813.17
247,3.35,10,8,451.37,513,1446.7
119,5.09,11,11,465.7,296,1212.63
161,6.31,12,2,197.95,779,1112.07
53,9.06,12,12,250.95,422,894.36
399,6.2,6,12,449.16,466,3140.89
380,7.77,7,9,405.29,80,3409.93
495,9.95,17,4,11.79,417,4634.73
367,3.49,14,11,166.83,608,1285.69
399,4.56,15,7,216.67,695,1961.68
144,5.46,7,8,122.56,157,776.78
201,5.66,11,11,107.79,633,1206.99
360,5.58,16,2,28.51,888,2105.2
186,9.31,16,7,325.25,467,2134.25
296,7.86,6,8,138.63,669,2627.19
436,7.06,8,7,35.65,870,2766.11
292,4.82,7,5,123.18,447,1290.07
80,8.68,8,2,402.94,321,1331.8
89,9.66,10,12,427.23,732,1438.38
278,8.66,16,10,246.7,165,2601.32
85,2.51,15,5,213.87,890,547.46
457,7.27,11,8,489.15,635,3626.99
272,2.88,14,8,108.28,305,906.59
55,4.43,17,3,115.53,130,587.25
371,2.95,16,2,153.01,829,1429.74
269,7.03,15,9,94.65,177,1746.03
124,7.65,17,9,195.89,887,1193.78
53,3.36,17,8,456.31,964,1140.16
384,5.38,9,9,311.52,284,2233.03
183,5.92,12,4,211.85,602,1162.91
167,5.27,11,12,467.86,230,1652.75
418,3.41,7,3,33.75,206,1457.26
143,5.64,15,8,113.04,503,728.03
484,8.13,16,9,287.29,620,3692.47
111,3.03,16,2,311.62,906,812.44
490,3.1,16,13,29.38,810,1327.45
243,5.16,13,11,207.49,753,1102.91
384,9.56,12,10,328.09,73,3658.63
252,7.51,12,14,352.05,522,2351.86
441,7.59,13,12,322.69,449,3466.22
75,5.21,17,5,167.08,997,915.52
484,6.95,17,13,55.82,641,2693.7
222,2.58,16,5,219.29,183,1112.02
349,7.27,6,4,73.09,470,2324.36
182,9.35,6,7,474.34,262,2145.36
375,7.09,13,2,242.83,949,2446.88
459,9.05,9,7,165.46,531,4079.76
167,7.93,10,3,385.49,397,1404.76
373,3.4,13,10,253.99,215,1685.95
324,9.27,10,3,161.92,986,2643.34
261,3,15,8,407.86,397,1045.35
274,6.5,9,13,434.9,898,2017.01
69,3.57,17,2,339.77,447,588.16
162,2.59,11,13,33.01,632,615.55
189,5.67,17,8,287.5,775,1696.51
96,4.71,10,6,384.01,484,860.44
50,6.15,12,9,76.89,626,382.77
139,6.83,15,5,122.05,270,1135.49
191,2.83,12,13,442.42,357,1084.24
369,3.42,9,11,19.86,847,1255.72
87,6.69,17,8,378.84,746,1091.27
342,5.07,10,7,242.15,768,1873.08
431,7.97,8,6,228.92,515,3150.98
188,7.39,9,5,13.48,148,1300.42
405,8.84,9,8,411.51,291,4031.12
382,7.69,8,13,186.31,207,2767.63
308,5.72,15,6,274.98,659,1604.4
210,7.55,10,6,341.88,603,1875.86
439,4.57,10,2,354.29,700,2639
227,4.8,16,3,478.43,844,1940.67
59,8.42,12,6,270.36,969,736.55
310,5.85,9,14,205.86,276,2032.04
456,8.49,9,4,477.31,472,4322.97
187,8.67,14,14,324.63,121,2244.17
221,8.93,11,3,156.09,292,1700.2
435,9.37,9,5,71.97,579,3562.54
62,5.73,7,5,422.85,638,552.06
217,4.89,11,5,187.47,94,1100.54
179,6.87,7,5,333.63,521,1820.46
133,5.28,10,4,240.7,420,881.12
370,7.01,11,14,107.48,904,2233.91
368,7.79,9,13,304.83,701,3082.62
150,7.66,8,8,39.73,738,1144.17
378,5.31,12,10,212.54,783,1921.86
322,3.75,7,13,277.84,976,1402.3
314,5.73,16,6,223.66,141,1984.9
448,3.57,11,5,376.85,71,2153.9
457,9.18,9,12,415.68,221,4269.48
87,5.09,11,3,387.91,653,821.82
468,3.66,9,3,29.02,241,1967.63
143,2.69,9,6,105.12,126,449.08
144,7.34,9,8,272.94,330,1410.56
354,7.28,14,11,468.06,413,3151.17
118,5.05,12,11,419.13,228,807.63
367,3.04,8,10,422.84,287,1634.67
493,5.57,8,14,158.57,184,2380.12
285,4.83,11,8,220.43,926,1543.38
483,7.58,11,6,240.65,951,3930.63
383,7.04,9,11,87.11,329,2357.66
422,5.23,14,11,25.22,68,1690.9
425,4.13,9,11,473.98,644,2668.23
186,9.91,14,7,127.95,789,1621.45
467,5.91,9,12,127.57,420,2375.61
125,7.66,7,13,50.86,826,1261.85
84,3.55,7,4,464.97,161,728.54
50,6.14,10,6,294.07,812,1046.39
345,2.71,9,9,336.85,725,1401.55
369,6.29,12,2,456.67,919,3030.71
455,9.73,16,13,179.35,729,4290.67
109,5.38,10,2,314.54,270,1215.53
369,2.79,11,8,29.01,969,786.38
398,2.73,15,6,101.52,353,1007.45
377,5.41,9,6,417.31,752,2038.48
316,3.7,17,2,385.72,374,1825.22
410,2.68,7,10,181.81,486,1345.55
278,8.17,15,2,194.64,487,2134.63
319,5.94,14,6,271.44,219,1762.75
365,4.67,15,11,10.12,424,1605.64
335,9.25,12,10,128.21,606,3316.38
340,3.37,9,5,112.03,430,1171.67
262,9.67,8,14,132.74,63,2347.61
214,4.85,15,9,404.89,792,1354.03
54,9.16,8,7,147.04,718,915.61
388,7.02,14,12,103.85,549,2451.31
428,8.7,10,4,257.09,695,3662.64
127,9.88,8,5,434.17,440,1988.89
459,4.66,10,3,128.26,598,2244.93
111,9.71,7,2,48.48,614,976.17
181,5.42,16,14,184.64,579,1020.08
138,5.39,9,9,376.35,541,1527.08
286,5.05,15,2,279.84,599,1496.36
91,6.56,7,14,410.23,748,1110.55
138,3.66,7,12,480.2,434,873.7
451,6.65,17,2,398.4,245,3534.61
345,6.56,13,5,305.86,804,2400.69
377,8.21,6,11,251.74,349,3023.34
344,8.75,12,13,29.63,864,2885.78
153,5.8,10,11,492.32,596,1252.04
63,4.77,16,7,197.91,776,694.4
337,4.45,13,10,84.59,780,1404.46
228,3.96,6,2,336.69,877,1076.57
174,2.93,16,8,149.3,651,484.74
471,5.07,12,11,297.03,357,2457.88
402,4.53,10,12,297.52,301,1996.43
72,9.75,9,6,228.41,57,734.71
112,6.68,12,13,419.7,817,1361.8
192,5.1,15,9,139.83,924,846.08
202,6.85,7,8,229.83,257,1117.05
194,3.54,17,5,273.47,986,1412.21
274,5.83,6,5,335.18,180,1980.03
499,7.2,6,7,394.15,785,4226.64
358,6.17,16,7,203.46,758,2084.43
153,5.51,17,10,326.56,703,1344.53
153,9.95,6,13,83.8,813,1674.74
484,9.1,17,6,467,657,4626.59
88,7.18,10,9,197.7,75,576.32
484,6.77,15,6,367.47,672,3447.32
247,7.15,12,3,19.97,503,1744.68
183,4.01,7,7,110.54,684,943.9
116,5.46,15,10,248.67,235,942.7
440,2.8,13,14,440.34,533,1948.77
228,6.07,9,4,268.36,729,1818.12
91,6.57,17,2,465.64,100,1131.81
497,4.21,8,2,247.06,940,1949.64
64,9.73,15,14,250.32,54,974.01
160,9.32,16,4,68.68,638,1295.77
206,7.92,13,11,403.3,209,2102.07
338,6.5,7,6,131.01,257,2442.92
280,9.02,16,4,450.81,306,3036.75
460,3.48,16,10,456.3,254,2384.42
469,8.43,8,9,472.22,816,4064.34
206,3.44,17,4,264.91,999,1252.63
87,8.46,8,10,341.78,60,1510.41
